anio,trimestre,ipc
2016,4,100.0
2017,1,103.80646666666667
2017,2,110.44816666666668
2017,3,115.57966666666668
2017,4,121.71413333333334
2018,1,130.05156666666667
2018,2,140.38193333333334
2018,3,156.5461
2018,4,179.34709999999998
2019,1,197.43909999999997
2019,2,219.35524713333334
2019,3,241.2706333333333
2019,4,272.9087
2020,1,297.01579999999996
2020,2,315.6689333333333
2020,3,337.2951
2020,4,372.1869
2021,1,417.74410000000006
2021,2,468.66006666666664
2021,3,512.3299000000001
2021,4,563.4853666666667
2022,1,638.1741333333333
2022,2,754.3715666666667
2022,3,910.0667333333334
2022,4,1080.8574
2023,1,1288.9494000000002
2023,2,1606.8052333333333
2023,3,2055.763733333333
2023,4,2948.5093333333334
2024,1,4814.8044666666665
2024,2,6085.213866666666
2024,3,6871.143733333333
2024,4,7499.7977
2025,1,8090.1447333333335
2025,2,8718.554333333333
2025,3,9200.436433333334
2025,4,9855.530633333334
2026,1,10734.905733333333
2026,2,11485.24205
