variable,coef_log,variable_nombre,impacto_pct
cat__PP04D_COD_54113.0,-1.7609086849543065,Ocupación,-82.81113997482407
cat__PP04D_COD_33123.0,-1.4675063195005178,Ocupación,-76.95004386307295
cat__PP04D_COD_30339.0,-1.2847539266366974,Ocupación,-72.32813316518786
cat__PP04D_COD_2001.0,1.1174837140029852,Ocupación,205.7151848306442
cat__PP04D_COD_32113.0,-1.0714873621655872,Ocupación,-65.7501281250966
cat__PP04B_COD_4811.0,-1.0546177077230763,Rama de actividad,-65.1674435971011
cat__PP04D_COD_33314.0,-1.0483680665543607,Ocupación,-64.94907095403018
cat__PP04D_COD_35113.0,-1.0157430908133478,Ocupación,-63.78667680522283
cat__PP04D_COD_50111.0,-0.9949306887726267,Ocupación,-63.02509285821062
cat__PP04D_COD_82123.0,-0.9740244378401318,Ocupación,-62.24394923002913
cat__PP04D_COD_57133.0,-0.9482110230047756,Ocupación,-61.256648651174864
cat__PP04D_COD_52132.0,-0.9234797810686959,Ocupación,-60.28653079175328
cat__PP04D_COD_32313.0,-0.9129744129713974,Ocupación,-59.86712704111481
cat__PP04D_COD_31139.0,0.9098572005919828,Ocupación,148.39677989262637
cat__PP04D_COD_31119.0,-0.8974851173716288,Ocupación,-59.240657850414614
cat__PP04D_COD_45201.0,0.8945476296847407,Ocupación,144.62289377719858
cat__PP04D_COD_47113.0,-0.8918650978316296,Ocupación,-59.01094465940204
cat__PP04D_COD_36114.0,-0.8603589537034361,Ocupación,-57.6989786020371
cat__PP04D_COD_41112.0,-0.858324470001975,Ocupación,-57.612830259463244
cat__PP04D_COD_61113.0,-0.8345482686374512,Ocupación,-56.59294795811909
cat__PP04D_COD_56113.0,-0.8189247819680362,Ocupación,-55.909453075580096
cat__PP04D_COD_45132.0,-0.8137443019568451,Ocupación,-55.68045021834615
cat__PP04D_COD_60113.0,-0.8132026228502175,Ocupación,-55.65643674100197
cat__PP04D_COD_34202.0,0.7933365489134393,Ocupación,121.07604445798094
cat__PP04D_COD_41132.0,-0.7930534890440123,Ocupación,-54.753890120158545
cat__PP04D_COD_53113.0,-0.7879479362093623,Ocupación,-54.52229300302594
cat__PP04D_COD_58113.0,-0.7631562348860274,Ocupación,-53.38073111267575
cat__PP04D_COD_71322.0,-0.7447057160483924,Ocupación,-52.512597281560325
cat__PP04D_COD_6001.0,0.7392209395389714,Ocupación,109.43032898895373
cat__PP04D_COD_40133.0,-0.7270831617733239,Ocupación,-51.66833073234203
